time,oscillator_id,send_count,cycle_index,record_type,action,carrier_sense_start,carrier_sense_end,blocking_oscillator_id,blocking_transmission_start,blocking_transmission_end,min_gap_rad,new_max_abs_dev,new_mean_abs_dev,selected_run_index,highlighted_device
891945.0263878922,3,177.0,179,send,,,,,,,,,,0,20
892048.5723334074,8,179.0,179,send,,,,,,,,,,0,20
892161.5271784725,19,179.0,179,send,,,,,,,,,,0,20
892265.9820685444,42,179.0,179,send,,,,,,,,,,0,20
892361.6242045787,31,178.0,179,send,,,,,,,,,,0,20
892466.7096867707,27,179.0,179,send,,,,,,,,,,0,20
892571.9695547655,7,179.0,179,send,,,,,,,,,,0,20
892678.5947127264,17,179.0,179,send,,,,,,,,,,0,20
892787.802814134,14,179.0,179,send,,,,,,,,,,0,20
892888.0544166338,38,179.0,179,send,,,,,,,,,,0,20
893002.4191510432,20,63.0,179,send,,,,,,,,,,0,20
893107.0106972015,10,179.0,179,send,,,,,,,,,,0,20
893226.6817405664,48,179.0,179,send,,,,,,,,,,0,20
893335.3667147595,34,179.0,179,send,,,,,,,,,,0,20
893453.6733575631,1,179.0,179,send,,,,,,,,,,0,20
893562.9225746336,40,179.0,179,send,,,,,,,,,,0,20
893680.5515804848,15,179.0,179,send,,,,,,,,,,0,20
893794.1587651708,36,171.0,179,send,,,,,,,,,,0,20
893913.9793118401,43,144.0,179,send,,,,,,,,,,0,20
894024.4962545063,45,179.0,179,send,,,,,,,,,,0,20
894145.2760306506,18,179.0,179,send,,,,,,,,,,0,20
894249.7705914672,47,179.0,179,send,,,,,,,,,,0,20
894363.9131676513,32,179.0,179,send,,,,,,,,,,0,20
894478.3611614249,5,179.0,179,send,,,,,,,,,,0,20
894583.8931958139,44,179.0,179,send,,,,,,,,,,0,20
894692.1084123764,9,170.0,179,send,,,,,,,,,,0,20
894800.9016894586,11,179.0,179,send,,,,,,,,,,0,20
894909.9078059082,30,179.0,179,send,,,,,,,,,,0,20
895010.1451461067,13,179.0,179,send,,,,,,,,,,0,20
895118.7215562522,4,179.0,179,send,,,,,,,,,,0,20
895210.5103480151,25,179.0,179,send,,,,,,,,,,0,20
895310.5509891425,35,173.0,179,send,,,,,,,,,,0,20
895395.0982509212,28,167.0,179,send,,,,,,,,,,0,20
895480.1126576808,21,152.0,179,send,,,,,,,,,,0,20
895571.622060367,22,179.0,179,send,,,,,,,,,,0,20
895649.3222141492,16,128.0,179,send,,,,,,,,,,0,20
895741.1290016158,2,108.0,180,send,,,,,,,,,,0,20
895825.6597262855,6,180.0,180,send,,,,,,,,,,0,20
895909.4300692015,39,180.0,180,send,,,,,,,,,,0,20
895993.4783861627,41,180.0,180,send,,,,,,,,,,0,20
896084.4097005627,24,140.0,180,send,,,,,,,,,,0,20
896168.3009881558,29,79.0,180,send,,,,,,,,,,0,20
896260.6719596265,12,180.0,180,send,,,,,,,,,,0,20
