cycle_index,min_gap_rad,new_max_abs_dev,new_mean_abs_dev,function,K,run_index,selected_for_median
68,0.07919198793319515,0.0749982136312714,0.029094124679187677,LINEAR,10,24,True
69,0.07126461960033137,0.0739935256888195,0.028984895049263847,LINEAR,10,24,True
70,0.07919289412492575,0.07497962015555765,0.02909271283891364,LINEAR,10,24,True
71,0.07130108899124488,0.07398775168465227,0.028983708084666642,LINEAR,10,24,True
72,0.07919380554593008,0.07496109398087797,0.029091300648806176,LINEAR,10,24,True
73,0.07133738235215192,0.07398193512097934,0.028982521171444144,LINEAR,10,24,True
74,0.0791947221612444,0.07494263464268397,0.02908988811387422,LINEAR,10,24,True
75,0.07137350063980075,0.07397607639161813,0.02862815643236094,LINEAR,10,24,True
76,0.079195643935832,0.07007765898092905,0.02860499388203003,LINEAR,10,24,True
77,0.0714094448053807,0.07397017588731519,0.028144672251981365,LINEAR,10,24,True
78,0.07919657083494852,0.070063491489402,0.028121061247475047,LINEAR,10,24,True
79,0.0714452157945219,0.07394067293138668,0.02766117852723169,LINEAR,10,24,True
80,0.07919750282384957,0.07004932103883038,0.027637122467201233,LINEAR,10,24,True
81,0.07148081454773458,0.07391126981017998,0.02754214471820244,LINEAR,10,24,True
82,0.07919843986808367,0.07003514783329096,0.027635712678266006,LINEAR,10,24,True
83,0.07151624200011597,0.07388196596859292,0.02754078723881138,LINEAR,10,24,True
84,0.07919938193319864,0.07002097207466801,0.027634302574385025,LINEAR,10,24,True
85,0.07155149908142344,0.07385276085532427,0.027539430068274598,LINEAR,10,24,True
86,0.07920032898503576,0.07000679396257475,0.027632892160409313,LINEAR,10,24,True
87,0.07158658671629448,0.07382365392273033,0.027538073210541844,LINEAR,10,24,True
88,0.0792012809892162,0.0699926136947992,0.027631481441163522,LINEAR,10,24,True
89,0.07162150582417315,0.07379464462638524,0.027536716669489914,LINEAR,10,24,True
90,0.07920223791172737,0.069978431466932,0.02763007042146362,LINEAR,10,24,True
91,0.07165625731894454,0.0737657324257423,0.027535360448963323,LINEAR,10,24,True
92,0.0792031997187756,0.06996424747259206,0.027628659106105066,LINEAR,10,24,True
93,0.07169084210988508,0.07373691678354372,0.027534004552724728,LINEAR,10,24,True
94,0.07920416637649441,0.06995006190341985,0.027627247499862798,LINEAR,10,24,True
95,0.0717252611005661,0.07370819716597249,0.027532648984510383,LINEAR,10,24,True
96,0.07920513785131,0.06993587494886516,0.02762583560750011,LINEAR,10,24,True
97,0.07175951518980472,0.0736795730428656,0.027531293747977623,LINEAR,10,24,True
98,0.07920611410972145,0.06992168679647265,0.02762442343375974,LINEAR,10,24,True
99,0.07179360527129752,0.07365104388727967,0.02752993884673979,LINEAR,10,24,True
100,0.07920709511822771,0.0699074976319613,0.027623010983372786,LINEAR,10,24,True
101,0.07182753223354765,0.07362260917570945,0.02752858428435185,LINEAR,10,24,True
102,0.07920808084369407,0.0698933076389247,0.027621598261052763,LINEAR,10,24,True
103,0.07186129696015775,0.07359426838801592,0.027527230064324767,LINEAR,10,24,True
104,0.07920907125298515,0.0698791169990593,0.027620185271486842,LINEAR,10,24,True
105,0.07189490032990276,0.07356602100756832,0.02752587619012277,LINEAR,10,24,True
106,0.07921006631303917,0.06986492589215815,0.027618772019365186,LINEAR,10,24,True
107,0.07192834321614461,0.0735378665206638,0.027524522665142673,LINEAR,10,24,True
108,0.07921106599108663,0.06985073449618379,0.027617358509331086,LINEAR,10,24,True
109,0.07196162648771043,0.0735098044176194,0.02752316949273757,LINEAR,10,24,True
110,0.07921207025435817,0.0698365429871261,0.027615944746042443,LINEAR,10,24,True
111,0.07199475100838015,0.07348183419124527,0.027521816676201932,LINEAR,10,24,True
112,0.07921307907008451,0.06982235153907163,0.02761453073411621,LINEAR,10,24,True
113,0.0720277176370332,0.07345395533814808,0.027520464218812664,LINEAR,10,24,True
114,0.07921409240622779,0.06980816032420661,0.027613116478163606,LINEAR,10,24,True
115,0.07206052722786715,0.07342616735801072,0.02751911212376479,LINEAR,10,24,True
116,0.07921511023001854,0.06979396951310662,0.027611701982778073,LINEAR,10,24,True
117,0.07209318062995984,0.07339846975358827,0.027517760394212373,LINEAR,10,24,True
118,0.07921613250956511,0.0697797792743004,0.027610287252535688,LINEAR,10,24,True
119,0.0721256786878538,0.0733708620309989,0.027516409033262672,LINEAR,10,24,True
120,0.07921715921268341,0.06976558977514652,0.027608872292000756,LINEAR,10,24,True
121,0.07215802224111778,0.07334334369943302,0.0275150580439585,LINEAR,10,24,True
122,0.07921819030748173,0.06975140117992867,0.027607457105708288,LINEAR,10,24,True
123,0.07219021212507803,0.07331591427130107,0.027513707429336884,LINEAR,10,24,True
124,0.07921922576206858,0.06973721365234836,0.027606041698181642,LINEAR,10,24,True
125,0.07222224916964781,0.07328857326208399,0.027512357192364716,LINEAR,10,24,True
