function,label,k,residual_median,residual_q1,residual_q3,n_runs
LINEAR,frog chorus based,38.0,0.0329359150638331,0.0289344498060725,0.038837142619405,488
LINEAR,frog chorus based,39.0,0.0335005419705675,0.0293204323668816,0.0395758048509293,491
LINEAR,frog chorus based,40.0,0.0338454441172023,0.0298294615159789,0.0398643630867915,494
LINEAR,frog chorus based,41.0,0.0340447136997201,0.0302427288615859,0.0398319908434967,489
LINEAR,frog chorus based,42.0,0.0345073526068544,0.0304521821747096,0.04039869449191,492
LINEAR,frog chorus based,43.0,0.0347996322985014,0.0310232735248433,0.0409987065341199,495
LINEAR,frog chorus based,44.0,0.0351267805983739,0.0314475216060349,0.0409268931703516,492
LINEAR,frog chorus based,45.0,0.0353699575913327,0.0317211606892739,0.0412014271584334,494
LINEAR,frog chorus based,46.0,0.0354607680117856,0.0320688263342309,0.0413360670385756,494
LINEAR,frog chorus based,47.0,0.0356321339121692,0.0321329870601647,0.0413452427579008,491
LINEAR,frog chorus based,48.0,0.0358639513716345,0.032667070078843,0.0416718075431424,495
LINEAR,frog chorus based,49.0,0.0361984085934644,0.0328915040369631,0.0419544607946059,491
LINEAR,frog chorus based,50.0,0.0365557856364693,0.0332650491919816,0.0417317312791421,492
LINEAR,frog chorus based,51.0,0.0370248183603411,0.0337387296806453,0.042096348408513,494
LINEAR,frog chorus based,52.0,0.037122955478288,0.0340574504988068,0.0419296651623972,491
LINEAR,frog chorus based,53.0,0.0372500637941948,0.0345267392448248,0.0419588031370303,487
LINEAR,frog chorus based,54.0,0.0377588495051489,0.0348974458339884,0.0425383596221419,491
LINEAR,frog chorus based,55.0,0.0380787877089746,0.0353174860819799,0.0428593298685584,495
LINEAR,frog chorus based,56.0,0.0384595649169122,0.0358314684042655,0.0428630972660481,494
LINEAR,frog chorus based,57.0,0.0389165779615503,0.0362527206912649,0.0433400135018264,494
LINEAR,frog chorus based,58.0,0.0391627318145458,0.0365830959151462,0.0433683535565938,492
LINEAR,frog chorus based,59.0,0.0395967076353003,0.0370902196695273,0.0436124726452275,495
LINEAR,frog chorus based,60.0,0.0400228438312967,0.0375817711126786,0.0440034280069847,490
LINEAR,frog chorus based,61.0,0.040449926641039,0.0379634689685269,0.0445383600312284,497
LINEAR,frog chorus based,62.0,0.0407102347732745,0.0385387802313933,0.044285249928067,489
LINEAR,frog chorus based,63.0,0.0411997459556229,0.0390440385103975,0.0451038252797951,494
LINEAR,frog chorus based,64.0,0.0415852171331662,0.0395768294167828,0.0452484361497137,493
LINEAR,frog chorus based,65.0,0.0420856441081503,0.0400459840456205,0.0453983683541018,491
LINEAR,frog chorus based,66.0,0.042513846578299,0.0404474376787745,0.0460628505974394,498
LINEAR,frog chorus based,67.0,0.0428641669588245,0.0408717434257742,0.0459659343732988,491
LINEAR,frog chorus based,68.0,0.0432317077559356,0.0415331704114589,0.0464471317419334,494
LINEAR,frog chorus based,69.0,0.0436497791279685,0.0420733645424597,0.0467857196416501,494
LINEAR,frog chorus based,70.0,0.044151359446309,0.0425669836443084,0.0473830555225068,493
LINEAR,frog chorus based,71.0,0.0444285070519678,0.0430731615803704,0.0477902928464243,494
LINEAR,frog chorus based,72.0,0.0449439358584322,0.0434253672588695,0.0478427563642003,493
LINEAR,frog chorus based,73.0,0.0454209152507439,0.0439478549213838,0.0486110672360363,493
LINEAR,frog chorus based,74.0,0.0458999712780838,0.0445307864346545,0.0488558330968333,494
LINEAR,frog chorus based,75.0,0.046178041986614,0.0449393648629807,0.0490310648172688,491
LINEAR,frog chorus based,76.0,0.04668354116625,0.0454445479593839,0.0495824425919327,497
LINEAR,frog chorus based,77.0,0.0471396067597493,0.0460229085177587,0.0495787815781755,494
LINEAR,frog chorus based,78.0,0.0475855775036201,0.0465142992608213,0.0505626664849183,494
LINEAR,frog chorus based,79.0,0.048103224839824,0.0470194259103747,0.0504463055292877,494
LINEAR,frog chorus based,80.0,0.0486565990938013,0.0475422498640167,0.0506743173223439,493
LINEAR,frog chorus based,81.0,0.0491401541783743,0.0480743816820974,0.0514136116676548,494
LINEAR,frog chorus based,82.0,0.0496406005999471,0.0486286247793131,0.0518495929673151,496
LINEAR,frog chorus based,83.0,0.0500595284338357,0.0491095366238541,0.0520618495027627,492
LINEAR,frog chorus based,84.0,0.0505832083128344,0.0493958219861081,0.0524525666534639,495
LINEAR,frog chorus based,85.0,0.0510142384886265,0.0500954478876056,0.052821010022918,492
