coupling_function,phase_difference_rad,coupling_function_value
KURAMOTO,-0.017453292519943098,-0.017452406437283314
KURAMOTO,-0.008726646259971549,-0.008726535498373836
KURAMOTO,0.0,
KURAMOTO,,
KURAMOTO,0.0,
KURAMOTO,0.008726646259971648,0.008726535498373935
KURAMOTO,0.017453292519943295,0.01745240643728351
KURAMOTO,0.026179938779914945,0.026176948307873153
KURAMOTO,0.03490658503988659,0.03489949670250097
KURAMOTO,0.04363323129985824,0.043619387365336
KURAMOTO,0.05235987755982989,0.052335956242943835
KURAMOTO,0.061086523819801536,0.06104853953485687
KURAMOTO,0.06981317007977318,0.0697564737441253
KURAMOTO,0.07853981633974483,0.07845909572784494
KURAMOTO,0.08726646259971647,0.08715574274765817
KURAMOTO,0.09599310885968812,0.09584575252022398
KURAMOTO,0.10471975511965978,0.10452846326765347
KURAMOTO,0.11344640137963143,0.11320321376790672
KURAMOTO,0.12217304763960307,0.12186934340514748
KURAMOTO,0.1308996938995747,0.13052619222005157
KURAMOTO,0.13962634015954636,0.13917310096006544
KURAMOTO,0.14835298641951802,0.14780941112961063
KURAMOTO,0.15707963267948966,0.15643446504023087
KURAMOTO,0.16580627893946132,0.16504760586067765
KURAMOTO,0.17453292519943295,0.17364817766693033
KURAMOTO,0.1832595714594046,0.18223552549214747
KURAMOTO,0.19198621771937624,0.1908089953765448
KURAMOTO,0.2007128639793479,0.1993679344171972
KURAMOTO,0.20943951023931956,0.20791169081775934
KURAMOTO,0.2181661564992912,0.21643961393810288
KURAMOTO,0.22689280275926285,0.224951054343865
KURAMOTO,0.23561944901923448,0.2334453638559054
KURAMOTO,0.24434609527920614,0.24192189559966773
KURAMOTO,0.2530727415391778,0.25038000405444144
KURAMOTO,0.2617993877991494,0.25881904510252074
KURAMOTO,0.27052603405912107,0.26723837607825685
KURAMOTO,0.2792526803190927,0.27563735581699916
KURAMOTO,0.2879793265790644,0.28401534470392265
KURAMOTO,0.29670597283903605,0.29237170472273677
KURAMOTO,0.30543261909900765,0.3007057995042731
KURAMOTO,0.3141592653589793,0.3090169943749474
KURAMOTO,0.32288591161895097,0.31730465640509214
KURAMOTO,0.33161255787892263,0.3255681544571567
KURAMOTO,0.34033920413889424,0.3338068592337709
KURAMOTO,0.3490658503988659,0.3420201433256687
KURAMOTO,0.35779249665883756,0.35020738125946743
KURAMOTO,0.3665191429188092,0.35836794954530027
KURAMOTO,0.3752457891787809,0.3665012267242973
KURAMOTO,0.3839724354387525,0.374606593415912
KURAMOTO,0.39269908169872414,0.3826834323650898
KURAMOTO,0.4014257279586958,0.39073112848927377
KURAMOTO,0.41015237421866746,0.3987490689252462
KURAMOTO,0.4188790204786391,0.4067366430758002
KURAMOTO,0.4276056667386107,0.414693242656239
KURAMOTO,0.4363323129985824,0.42261826174069944
KURAMOTO,0.44505895925855404,0.43051109680829514
KURAMOTO,0.4537856055185257,0.4383711467890774
KURAMOTO,0.4625122517784973,0.44619781310980877
KURAMOTO,0.47123889803846897,0.45399049973954675
KURAMOTO,0.4799655442984406,0.4617486132350339
KURAMOTO,0.4886921905584123,0.4694715627858908
KURAMOTO,0.49741883681838395,0.4771587602596084
KURAMOTO,0.5061454830783556,0.48480962024633706
KURAMOTO,0.5148721293383273,0.49242356010346716
KURAMOTO,0.5235987755982988,0.49999999999999994
KURAMOTO,0.5323254218582705,0.5075383629607041
KURAMOTO,0.5410520681182421,0.5150380749100542
KURAMOTO,0.5497787143782138,0.5224985647159488
KURAMOTO,0.5585053606381855,0.5299192642332049
KURAMOTO,0.5672320068981571,0.5372996083468238
KURAMOTO,0.5759586531581288,0.5446390350150271
KURAMOTO,0.5846852994181004,0.5519369853120581
KURAMOTO,0.5934119456780721,0.5591929034707469
KURAMOTO,0.6021385919380436,0.5664062369248328
KURAMOTO,0.6108652381980153,0.573576436351046
KURAMOTO,0.619591884457987,0.5807029557109398
KURAMOTO,0.6283185307179586,0.5877852522924731
KURAMOTO,0.6370451769779303,0.5948227867513413
KURAMOTO,0.6457718232379019,0.6018150231520483
KURAMOTO,0.6544984694978736,0.6087614290087207
KURAMOTO,0.6632251157578453,0.6156614753256583
KURAMOTO,0.6719517620178169,0.6225146366376196
KURAMOTO,0.6806784082777885,0.6293203910498374
KURAMOTO,0.6894050545377601,0.636078220277764
KURAMOTO,0.6981317007977318,0.6427876096865393
KURAMOTO,0.7068583470577035,0.6494480483301837
KURAMOTO,0.7155849933176751,0.6560590289905073
KURAMOTO,0.7243116395776468,0.6626200482157375
KURAMOTO,0.7330382858376184,0.6691306063588582
KURAMOTO,0.7417649320975901,0.6755902076156602
KURAMOTO,0.7504915783575618,0.6819983600624985
